func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glClearTexImage,-1,0,void,N/A,N/A,out,fixed,N/A
glClearTexImage,0,0,GLuint,texture,N/A,in,fixed,??
glClearTexImage,1,0,GLint,level,N/A,in,fixed,??
glClearTexImage,2,0,GLenum,format,N/A,in,fixed,??
glClearTexImage,3,0,GLenum,type,N/A,in,fixed,??
glClearTexImage,4,1,"const void *",data,???,???,???,???
glClearTexSubImage,-1,0,void,N/A,N/A,out,fixed,N/A
glClearTexSubImage,0,0,GLuint,texture,N/A,in,fixed,??
glClearTexSubImage,1,0,GLint,level,N/A,in,fixed,??
glClearTexSubImage,2,0,GLint,xoffset,N/A,in,fixed,??
glClearTexSubImage,3,0,GLint,yoffset,N/A,in,fixed,??
glClearTexSubImage,4,0,GLint,zoffset,N/A,in,fixed,??
glClearTexSubImage,5,0,GLsizei,width,N/A,in,fixed,??
glClearTexSubImage,6,0,GLsizei,height,N/A,in,fixed,??
glClearTexSubImage,7,0,GLsizei,depth,N/A,in,fixed,??
glClearTexSubImage,8,0,GLenum,format,N/A,in,fixed,??
glClearTexSubImage,9,0,GLenum,type,N/A,in,fixed,??
glClearTexSubImage,10,1,"const void *",data,???,???,???,???
