func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetCompressedTextureSubImage,-1,0,void,N/A,N/A,out,fixed,N/A
glGetCompressedTextureSubImage,0,0,GLuint,texture,N/A,in,fixed,??
glGetCompressedTextureSubImage,1,0,GLint,level,N/A,in,fixed,??
glGetCompressedTextureSubImage,2,0,GLint,xoffset,N/A,in,fixed,??
glGetCompressedTextureSubImage,3,0,GLint,yoffset,N/A,in,fixed,??
glGetCompressedTextureSubImage,4,0,GLint,zoffset,N/A,in,fixed,??
glGetCompressedTextureSubImage,5,0,GLsizei,width,N/A,in,fixed,??
glGetCompressedTextureSubImage,6,0,GLsizei,height,N/A,in,fixed,??
glGetCompressedTextureSubImage,7,0,GLsizei,depth,N/A,in,fixed,??
glGetCompressedTextureSubImage,8,0,GLsizei,bufSize,N/A,in,fixed,??
glGetCompressedTextureSubImage,9,1,"void *",pixels,???,???,???,???
glGetTextureSubImage,-1,0,void,N/A,N/A,out,fixed,N/A
glGetTextureSubImage,0,0,GLuint,texture,N/A,in,fixed,??
glGetTextureSubImage,1,0,GLint,level,N/A,in,fixed,??
glGetTextureSubImage,2,0,GLint,xoffset,N/A,in,fixed,??
glGetTextureSubImage,3,0,GLint,yoffset,N/A,in,fixed,??
glGetTextureSubImage,4,0,GLint,zoffset,N/A,in,fixed,??
glGetTextureSubImage,5,0,GLsizei,width,N/A,in,fixed,??
glGetTextureSubImage,6,0,GLsizei,height,N/A,in,fixed,??
glGetTextureSubImage,7,0,GLsizei,depth,N/A,in,fixed,??
glGetTextureSubImage,8,0,GLenum,format,N/A,in,fixed,??
glGetTextureSubImage,9,0,GLenum,type,N/A,in,fixed,??
glGetTextureSubImage,10,0,GLsizei,bufSize,N/A,in,fixed,??
glGetTextureSubImage,11,1,"void *",pixels,???,???,???,???
