func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glProgramUniform4ui64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glProgramUniform4ui64vARB,0,0,GLuint,program,N/A,in,fixed,??
glProgramUniform4ui64vARB,1,0,GLint,location,N/A,in,fixed,??
glProgramUniform4ui64vARB,2,0,GLsizei,count,N/A,in,fixed,??
glProgramUniform4ui64vARB,3,1,"const GLuint64 *",value,???,???,???,???
glUniform1i64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform1i64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform1i64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform1i64vARB,2,1,"const GLint64 *",value,???,???,???,???
glUniform1ui64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform1ui64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform1ui64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform1ui64vARB,2,1,"const GLuint64 *",value,???,???,???,???
glUniform2i64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform2i64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform2i64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform2i64vARB,2,1,"const GLint64 *",value,???,???,???,???
glUniform2ui64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform2ui64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform2ui64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform2ui64vARB,2,1,"const GLuint64 *",value,???,???,???,???
glUniform3i64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform3i64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform3i64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform3i64vARB,2,1,"const GLint64 *",value,???,???,???,???
glUniform3ui64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform3ui64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform3ui64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform3ui64vARB,2,1,"const GLuint64 *",value,???,???,???,???
glUniform4i64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform4i64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform4i64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform4i64vARB,2,1,"const GLint64 *",value,???,???,???,???
glUniform4ui64vARB,-1,0,void,N/A,N/A,out,fixed,N/A
glUniform4ui64vARB,0,0,GLint,location,N/A,in,fixed,??
glUniform4ui64vARB,1,0,GLsizei,count,N/A,in,fixed,??
glUniform4ui64vARB,2,1,"const GLuint64 *",value,???,???,???,???
