func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glColorSubTable,-1,0,void,N/A,N/A,out,fixed,N/A
glColorSubTable,0,0,GLenum,target,N/A,in,fixed,??
glColorSubTable,1,0,GLsizei,start,N/A,in,fixed,??
glColorSubTable,2,0,GLsizei,count,N/A,in,fixed,??
glColorSubTable,3,0,GLenum,format,N/A,in,fixed,??
glColorSubTable,4,0,GLenum,type,N/A,in,fixed,??
glColorSubTable,5,1,"const void *",data,???,???,???,???
glColorTable,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTable,0,0,GLenum,target,N/A,in,fixed,??
glColorTable,1,0,GLenum,internalformat,N/A,in,fixed,??
glColorTable,2,0,GLsizei,width,N/A,in,fixed,??
glColorTable,3,0,GLenum,format,N/A,in,fixed,??
glColorTable,4,0,GLenum,type,N/A,in,fixed,??
glColorTable,5,1,"const void *",table,???,???,???,???
glColorTableParameterfv,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTableParameterfv,0,0,GLenum,target,N/A,in,fixed,??
glColorTableParameterfv,1,0,GLenum,pname,N/A,in,fixed,??
glColorTableParameterfv,2,1,"const GLfloat *",params,???,???,???,???
glColorTableParameteriv,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTableParameteriv,0,0,GLenum,target,N/A,in,fixed,??
glColorTableParameteriv,1,0,GLenum,pname,N/A,in,fixed,??
glColorTableParameteriv,2,1,"const GLint *",params,???,???,???,???
glConvolutionFilter1D,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionFilter1D,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionFilter1D,1,0,GLenum,internalformat,N/A,in,fixed,??
glConvolutionFilter1D,2,0,GLsizei,width,N/A,in,fixed,??
glConvolutionFilter1D,3,0,GLenum,format,N/A,in,fixed,??
glConvolutionFilter1D,4,0,GLenum,type,N/A,in,fixed,??
glConvolutionFilter1D,5,1,"const void *",image,???,???,???,???
glConvolutionFilter2D,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionFilter2D,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionFilter2D,1,0,GLenum,internalformat,N/A,in,fixed,??
glConvolutionFilter2D,2,0,GLsizei,width,N/A,in,fixed,??
glConvolutionFilter2D,3,0,GLsizei,height,N/A,in,fixed,??
glConvolutionFilter2D,4,0,GLenum,format,N/A,in,fixed,??
glConvolutionFilter2D,5,0,GLenum,type,N/A,in,fixed,??
glConvolutionFilter2D,6,1,"const void *",image,???,???,???,???
glConvolutionParameterfv,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionParameterfv,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionParameterfv,1,0,GLenum,pname,N/A,in,fixed,??
glConvolutionParameterfv,2,1,"const GLfloat *",params,???,???,???,???
glConvolutionParameteriv,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionParameteriv,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionParameteriv,1,0,GLenum,pname,N/A,in,fixed,??
glConvolutionParameteriv,2,1,"const GLint *",params,???,???,???,???
glGetColorTable,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTable,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTable,1,0,GLenum,format,N/A,in,fixed,??
glGetColorTable,2,0,GLenum,type,N/A,in,fixed,??
glGetColorTable,3,1,"void *",table,???,???,???,???
glGetColorTableParameterfv,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTableParameterfv,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTableParameterfv,1,0,GLenum,pname,N/A,in,fixed,??
glGetColorTableParameterfv,2,1,"GLfloat *",params,???,???,???,???
glGetColorTableParameteriv,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTableParameteriv,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTableParameteriv,1,0,GLenum,pname,N/A,in,fixed,??
glGetColorTableParameteriv,2,1,"GLint *",params,???,???,???,???
