func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetnPolygonStippleARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnPolygonStippleARB,0,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnPolygonStippleARB,1,1,"GLubyte *",pattern,???,???,???,???
glGetnSeparableFilterARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnSeparableFilterARB,0,0,GLenum,target,N/A,in,fixed,??
glGetnSeparableFilterARB,1,0,GLenum,format,N/A,in,fixed,??
glGetnSeparableFilterARB,2,0,GLenum,type,N/A,in,fixed,??
glGetnSeparableFilterARB,3,0,GLsizei,rowBufSize,N/A,in,fixed,??
glGetnSeparableFilterARB,4,1,"void *",row,???,???,???,???
glGetnSeparableFilterARB,5,0,GLsizei,columnBufSize,N/A,in,fixed,??
glGetnSeparableFilterARB,6,1,"void *",column,???,???,???,???
glGetnSeparableFilterARB,7,1,"void *",span,???,???,???,???
glGetnTexImageARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnTexImageARB,0,0,GLenum,target,N/A,in,fixed,??
glGetnTexImageARB,1,0,GLint,level,N/A,in,fixed,??
glGetnTexImageARB,2,0,GLenum,format,N/A,in,fixed,??
glGetnTexImageARB,3,0,GLenum,type,N/A,in,fixed,??
glGetnTexImageARB,4,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnTexImageARB,5,1,"void *",img,???,???,???,???
glGetnUniformdvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformdvARB,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformdvARB,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformdvARB,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformdvARB,3,1,"GLdouble *",params,???,???,???,???
glGetnUniformfvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformfvARB,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformfvARB,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformfvARB,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformfvARB,3,1,"GLfloat *",params,???,???,???,???
glGetnUniformivARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformivARB,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformivARB,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformivARB,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformivARB,3,1,"GLint *",params,???,???,???,???
glGetnUniformuivARB,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformuivARB,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformuivARB,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformuivARB,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformuivARB,3,1,"GLuint *",params,???,???,???,???
glReadnPixelsARB,-1,0,void,N/A,N/A,out,fixed,N/A
glReadnPixelsARB,0,0,GLint,x,N/A,in,fixed,??
glReadnPixelsARB,1,0,GLint,y,N/A,in,fixed,??
glReadnPixelsARB,2,0,GLsizei,width,N/A,in,fixed,??
glReadnPixelsARB,3,0,GLsizei,height,N/A,in,fixed,??
glReadnPixelsARB,4,0,GLenum,format,N/A,in,fixed,??
glReadnPixelsARB,5,0,GLenum,type,N/A,in,fixed,??
glReadnPixelsARB,6,0,GLsizei,bufSize,N/A,in,fixed,??
glReadnPixelsARB,7,1,"void *",data,???,???,???,???
