func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glFramebufferSampleLocationsfvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glFramebufferSampleLocationsfvARB,0,0,GLenum,target,N/A,in,fixed,??
glFramebufferSampleLocationsfvARB,1,0,GLuint,start,N/A,in,fixed,??
glFramebufferSampleLocationsfvARB,2,0,GLsizei,count,N/A,in,fixed,??
glFramebufferSampleLocationsfvARB,3,1,"const GLfloat *",v,???,???,???,???
glNamedFramebufferSampleLocationsfvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glNamedFramebufferSampleLocationsfvARB,0,0,GLuint,framebuffer,N/A,in,fixed,??
glNamedFramebufferSampleLocationsfvARB,1,0,GLuint,start,N/A,in,fixed,??
glNamedFramebufferSampleLocationsfvARB,2,0,GLsizei,count,N/A,in,fixed,??
glNamedFramebufferSampleLocationsfvARB,3,1,"const GLfloat *",v,???,???,???,???
