func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glWindowPos2dvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos2dvARB,0,1,"const GLdouble *",p,???,???,???,???
glWindowPos2fvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos2fvARB,0,1,"const GLfloat *",p,???,???,???,???
glWindowPos2ivARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos2ivARB,0,1,"const GLint *",p,???,???,???,???
glWindowPos2svARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos2svARB,0,1,"const GLshort *",p,???,???,???,???
glWindowPos3dvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos3dvARB,0,1,"const GLdouble *",p,???,???,???,???
glWindowPos3fvARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos3fvARB,0,1,"const GLfloat *",p,???,???,???,???
glWindowPos3ivARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos3ivARB,0,1,"const GLint *",p,???,???,???,???
glWindowPos3svARB,-1,0,void,N/A,N/A,out,fixed,N/A
glWindowPos3svARB,0,1,"const GLshort *",p,???,???,???,???
