func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glConvolutionFilter1DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionFilter1DEXT,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionFilter1DEXT,1,0,GLenum,internalformat,N/A,in,fixed,??
glConvolutionFilter1DEXT,2,0,GLsizei,width,N/A,in,fixed,??
glConvolutionFilter1DEXT,3,0,GLenum,format,N/A,in,fixed,??
glConvolutionFilter1DEXT,4,0,GLenum,type,N/A,in,fixed,??
glConvolutionFilter1DEXT,5,1,"const void *",image,???,???,???,???
glConvolutionFilter2DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionFilter2DEXT,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionFilter2DEXT,1,0,GLenum,internalformat,N/A,in,fixed,??
glConvolutionFilter2DEXT,2,0,GLsizei,width,N/A,in,fixed,??
glConvolutionFilter2DEXT,3,0,GLsizei,height,N/A,in,fixed,??
glConvolutionFilter2DEXT,4,0,GLenum,format,N/A,in,fixed,??
glConvolutionFilter2DEXT,5,0,GLenum,type,N/A,in,fixed,??
glConvolutionFilter2DEXT,6,1,"const void *",image,???,???,???,???
glConvolutionParameterfvEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionParameterfvEXT,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionParameterfvEXT,1,0,GLenum,pname,N/A,in,fixed,??
glConvolutionParameterfvEXT,2,1,"const GLfloat *",params,???,???,???,???
glConvolutionParameterivEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glConvolutionParameterivEXT,0,0,GLenum,target,N/A,in,fixed,??
glConvolutionParameterivEXT,1,0,GLenum,pname,N/A,in,fixed,??
glConvolutionParameterivEXT,2,1,"const GLint *",params,???,???,???,???
glGetConvolutionFilterEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetConvolutionFilterEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetConvolutionFilterEXT,1,0,GLenum,format,N/A,in,fixed,??
glGetConvolutionFilterEXT,2,0,GLenum,type,N/A,in,fixed,??
glGetConvolutionFilterEXT,3,1,"void *",image,???,???,???,???
glGetConvolutionParameterfvEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetConvolutionParameterfvEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetConvolutionParameterfvEXT,1,0,GLenum,pname,N/A,in,fixed,??
glGetConvolutionParameterfvEXT,2,1,"GLfloat *",params,???,???,???,???
glGetConvolutionParameterivEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetConvolutionParameterivEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetConvolutionParameterivEXT,1,0,GLenum,pname,N/A,in,fixed,??
glGetConvolutionParameterivEXT,2,1,"GLint *",params,???,???,???,???
glGetSeparableFilterEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetSeparableFilterEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetSeparableFilterEXT,1,0,GLenum,format,N/A,in,fixed,??
glGetSeparableFilterEXT,2,0,GLenum,type,N/A,in,fixed,??
glGetSeparableFilterEXT,3,1,"void *",row,???,???,???,???
glGetSeparableFilterEXT,4,1,"void *",column,???,???,???,???
glGetSeparableFilterEXT,5,1,"void *",span,???,???,???,???
glSeparableFilter2DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glSeparableFilter2DEXT,0,0,GLenum,target,N/A,in,fixed,??
glSeparableFilter2DEXT,1,0,GLenum,internalformat,N/A,in,fixed,??
glSeparableFilter2DEXT,2,0,GLsizei,width,N/A,in,fixed,??
glSeparableFilter2DEXT,3,0,GLsizei,height,N/A,in,fixed,??
glSeparableFilter2DEXT,4,0,GLenum,format,N/A,in,fixed,??
glSeparableFilter2DEXT,5,0,GLenum,type,N/A,in,fixed,??
glSeparableFilter2DEXT,6,1,"const void *",row,???,???,???,???
glSeparableFilter2DEXT,7,1,"const void *",column,???,???,???,???
