func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetObjectLabelEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetObjectLabelEXT,0,0,GLenum,type,N/A,in,fixed,??
glGetObjectLabelEXT,1,0,GLuint,object,N/A,in,fixed,??
glGetObjectLabelEXT,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetObjectLabelEXT,3,1,"GLsizei *",length,???,???,???,???
glGetObjectLabelEXT,4,1,"GLchar *",label,???,???,???,???
glLabelObjectEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glLabelObjectEXT,0,0,GLenum,type,N/A,in,fixed,??
glLabelObjectEXT,1,0,GLuint,object,N/A,in,fixed,??
glLabelObjectEXT,2,0,GLsizei,length,N/A,in,fixed,??
glLabelObjectEXT,3,1,"const GLchar *",label,???,???,???,???
