func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glDeleteFramebuffersEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glDeleteFramebuffersEXT,0,0,GLsizei,n,N/A,in,fixed,??
glDeleteFramebuffersEXT,1,1,"const GLuint *",framebuffers,???,???,???,???
glDeleteRenderbuffersEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glDeleteRenderbuffersEXT,0,0,GLsizei,n,N/A,in,fixed,??
glDeleteRenderbuffersEXT,1,1,"const GLuint *",renderbuffers,???,???,???,???
glGenFramebuffersEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGenFramebuffersEXT,0,0,GLsizei,n,N/A,in,fixed,??
glGenFramebuffersEXT,1,1,"GLuint *",framebuffers,???,???,???,???
glGenRenderbuffersEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGenRenderbuffersEXT,0,0,GLsizei,n,N/A,in,fixed,??
glGenRenderbuffersEXT,1,1,"GLuint *",renderbuffers,???,???,???,???
glGetFramebufferAttachmentParameterivEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetFramebufferAttachmentParameterivEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetFramebufferAttachmentParameterivEXT,1,0,GLenum,attachment,N/A,in,fixed,??
glGetFramebufferAttachmentParameterivEXT,2,0,GLenum,pname,N/A,in,fixed,??
glGetFramebufferAttachmentParameterivEXT,3,1,"GLint *",params,???,???,???,???
glGetRenderbufferParameterivEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glGetRenderbufferParameterivEXT,0,0,GLenum,target,N/A,in,fixed,??
glGetRenderbufferParameterivEXT,1,0,GLenum,pname,N/A,in,fixed,??
glGetRenderbufferParameterivEXT,2,1,"GLint *",params,???,???,???,???
