func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glMultiDrawArraysEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glMultiDrawArraysEXT,0,0,GLenum,mode,N/A,in,fixed,??
glMultiDrawArraysEXT,1,1,"const GLint *",first,???,???,???,???
glMultiDrawArraysEXT,2,1,"const GLsizei *",count,???,???,???,???
glMultiDrawArraysEXT,3,0,GLsizei,primcount,N/A,in,fixed,??
glMultiDrawElementsEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glMultiDrawElementsEXT,0,0,GLenum,mode,N/A,in,fixed,??
glMultiDrawElementsEXT,1,1,"GLsizei *",count,???,???,???,???
glMultiDrawElementsEXT,2,0,GLenum,type,N/A,in,fixed,??
glMultiDrawElementsEXT,3,2,"const void * const *",indices,???,???,???,???
glMultiDrawElementsEXT,4,0,GLsizei,primcount,N/A,in,fixed,??
