func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glTexSubImage1DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glTexSubImage1DEXT,0,0,GLenum,target,N/A,in,fixed,??
glTexSubImage1DEXT,1,0,GLint,level,N/A,in,fixed,??
glTexSubImage1DEXT,2,0,GLint,xoffset,N/A,in,fixed,??
glTexSubImage1DEXT,3,0,GLsizei,width,N/A,in,fixed,??
glTexSubImage1DEXT,4,0,GLenum,format,N/A,in,fixed,??
glTexSubImage1DEXT,5,0,GLenum,type,N/A,in,fixed,??
glTexSubImage1DEXT,6,1,"const void *",pixels,???,???,???,???
glTexSubImage2DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glTexSubImage2DEXT,0,0,GLenum,target,N/A,in,fixed,??
glTexSubImage2DEXT,1,0,GLint,level,N/A,in,fixed,??
glTexSubImage2DEXT,2,0,GLint,xoffset,N/A,in,fixed,??
glTexSubImage2DEXT,3,0,GLint,yoffset,N/A,in,fixed,??
glTexSubImage2DEXT,4,0,GLsizei,width,N/A,in,fixed,??
glTexSubImage2DEXT,5,0,GLsizei,height,N/A,in,fixed,??
glTexSubImage2DEXT,6,0,GLenum,format,N/A,in,fixed,??
glTexSubImage2DEXT,7,0,GLenum,type,N/A,in,fixed,??
glTexSubImage2DEXT,8,1,"const void *",pixels,???,???,???,???
glTexSubImage3DEXT,-1,0,void,N/A,N/A,out,fixed,N/A
glTexSubImage3DEXT,0,0,GLenum,target,N/A,in,fixed,??
glTexSubImage3DEXT,1,0,GLint,level,N/A,in,fixed,??
glTexSubImage3DEXT,2,0,GLint,xoffset,N/A,in,fixed,??
glTexSubImage3DEXT,3,0,GLint,yoffset,N/A,in,fixed,??
glTexSubImage3DEXT,4,0,GLint,zoffset,N/A,in,fixed,??
glTexSubImage3DEXT,5,0,GLsizei,width,N/A,in,fixed,??
glTexSubImage3DEXT,6,0,GLsizei,height,N/A,in,fixed,??
glTexSubImage3DEXT,7,0,GLsizei,depth,N/A,in,fixed,??
glTexSubImage3DEXT,8,0,GLenum,format,N/A,in,fixed,??
glTexSubImage3DEXT,9,0,GLenum,type,N/A,in,fixed,??
glTexSubImage3DEXT,10,1,"const void *",pixels,???,???,???,???
