func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glMultiModeDrawArraysIBM,-1,0,void,N/A,N/A,out,fixed,N/A
glMultiModeDrawArraysIBM,0,1,"const GLenum *",mode,???,???,???,???
glMultiModeDrawArraysIBM,1,1,"const GLint *",first,???,???,???,???
glMultiModeDrawArraysIBM,2,1,"const GLsizei *",count,???,???,???,???
glMultiModeDrawArraysIBM,3,0,GLsizei,primcount,N/A,in,fixed,??
glMultiModeDrawArraysIBM,4,0,GLint,modestride,N/A,in,fixed,??
glMultiModeDrawElementsIBM,-1,0,void,N/A,N/A,out,fixed,N/A
glMultiModeDrawElementsIBM,0,1,"const GLenum *",mode,???,???,???,???
glMultiModeDrawElementsIBM,1,1,"const GLsizei *",count,???,???,???,???
glMultiModeDrawElementsIBM,2,0,GLenum,type,N/A,in,fixed,??
glMultiModeDrawElementsIBM,3,2,"const void * const *",indices,???,???,???,???
glMultiModeDrawElementsIBM,4,0,GLsizei,primcount,N/A,in,fixed,??
glMultiModeDrawElementsIBM,5,0,GLint,modestride,N/A,in,fixed,??
