func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetPerfQueryIdByNameINTEL,-1,0,void,N/A,N/A,out,fixed,N/A
glGetPerfQueryIdByNameINTEL,0,1,"GLchar *",queryName,???,???,???,???
glGetPerfQueryIdByNameINTEL,1,1,"GLuint *",queryId,???,???,???,???
glGetPerfQueryInfoINTEL,-1,0,void,N/A,N/A,out,fixed,N/A
glGetPerfQueryInfoINTEL,0,0,GLuint,queryId,N/A,in,fixed,??
glGetPerfQueryInfoINTEL,1,0,GLuint,queryNameLength,N/A,in,fixed,??
glGetPerfQueryInfoINTEL,2,1,"GLchar *",queryName,???,???,???,???
glGetPerfQueryInfoINTEL,3,1,"GLuint *",dataSize,???,???,???,???
glGetPerfQueryInfoINTEL,4,1,"GLuint *",noCounters,???,???,???,???
glGetPerfQueryInfoINTEL,5,1,"GLuint *",noInstances,???,???,???,???
glGetPerfQueryInfoINTEL,6,1,"GLuint *",capsMask,???,???,???,???
