func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetObjectPtrLabel,-1,0,void,N/A,N/A,out,fixed,N/A
glGetObjectPtrLabel,0,1,"const void *",ptr,???,???,???,???
glGetObjectPtrLabel,1,0,GLsizei,bufSize,N/A,in,fixed,??
glGetObjectPtrLabel,2,1,"GLsizei *",length,???,???,???,???
glGetObjectPtrLabel,3,1,"GLchar *",label,???,???,???,???
glObjectLabel,-1,0,void,N/A,N/A,out,fixed,N/A
glObjectLabel,0,0,GLenum,identifier,N/A,in,fixed,??
glObjectLabel,1,0,GLuint,name,N/A,in,fixed,??
glObjectLabel,2,0,GLsizei,length,N/A,in,fixed,??
glObjectLabel,3,1,"const GLchar *",label,???,???,???,???
glObjectPtrLabel,-1,0,void,N/A,N/A,out,fixed,N/A
glObjectPtrLabel,0,1,"const void *",ptr,???,???,???,???
glObjectPtrLabel,1,0,GLsizei,length,N/A,in,fixed,??
glObjectPtrLabel,2,1,"const GLchar *",label,???,???,???,???
glPushDebugGroup,-1,0,void,N/A,N/A,out,fixed,N/A
glPushDebugGroup,0,0,GLenum,source,N/A,in,fixed,??
glPushDebugGroup,1,0,GLuint,id,N/A,in,fixed,??
glPushDebugGroup,2,0,GLsizei,length,N/A,in,fixed,??
glPushDebugGroup,3,1,"const GLchar *",message,???,???,???,???
