func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glGetnUniformfv,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformfv,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformfv,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformfv,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformfv,3,1,"GLfloat *",params,???,???,???,???
glGetnUniformiv,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformiv,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformiv,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformiv,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformiv,3,1,"GLint *",params,???,???,???,???
glGetnUniformuiv,-1,0,void,N/A,N/A,out,fixed,N/A
glGetnUniformuiv,0,0,GLuint,program,N/A,in,fixed,??
glGetnUniformuiv,1,0,GLint,location,N/A,in,fixed,??
glGetnUniformuiv,2,0,GLsizei,bufSize,N/A,in,fixed,??
glGetnUniformuiv,3,1,"GLuint *",params,???,???,???,???
glReadnPixels,-1,0,void,N/A,N/A,out,fixed,N/A
glReadnPixels,0,0,GLint,x,N/A,in,fixed,??
glReadnPixels,1,0,GLint,y,N/A,in,fixed,??
glReadnPixels,2,0,GLsizei,width,N/A,in,fixed,??
glReadnPixels,3,0,GLsizei,height,N/A,in,fixed,??
glReadnPixels,4,0,GLenum,format,N/A,in,fixed,??
glReadnPixels,5,0,GLenum,type,N/A,in,fixed,??
glReadnPixels,6,0,GLsizei,bufSize,N/A,in,fixed,??
glReadnPixels,7,1,"void *",data,???,???,???,???
