func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glTexImage4DSGIS,-1,0,void,N/A,N/A,out,fixed,N/A
glTexImage4DSGIS,0,0,GLenum,target,N/A,in,fixed,??
glTexImage4DSGIS,1,0,GLint,level,N/A,in,fixed,??
glTexImage4DSGIS,2,0,GLenum,internalformat,N/A,in,fixed,??
glTexImage4DSGIS,3,0,GLsizei,width,N/A,in,fixed,??
glTexImage4DSGIS,4,0,GLsizei,height,N/A,in,fixed,??
glTexImage4DSGIS,5,0,GLsizei,depth,N/A,in,fixed,??
glTexImage4DSGIS,6,0,GLsizei,extent,N/A,in,fixed,??
glTexImage4DSGIS,7,0,GLint,border,N/A,in,fixed,??
glTexImage4DSGIS,8,0,GLenum,format,N/A,in,fixed,??
glTexImage4DSGIS,9,0,GLenum,type,N/A,in,fixed,??
glTexImage4DSGIS,10,1,"const void *",pixels,???,???,???,???
glTexSubImage4DSGIS,-1,0,void,N/A,N/A,out,fixed,N/A
glTexSubImage4DSGIS,0,0,GLenum,target,N/A,in,fixed,??
glTexSubImage4DSGIS,1,0,GLint,level,N/A,in,fixed,??
glTexSubImage4DSGIS,2,0,GLint,xoffset,N/A,in,fixed,??
glTexSubImage4DSGIS,3,0,GLint,yoffset,N/A,in,fixed,??
glTexSubImage4DSGIS,4,0,GLint,zoffset,N/A,in,fixed,??
glTexSubImage4DSGIS,5,0,GLint,woffset,N/A,in,fixed,??
glTexSubImage4DSGIS,6,0,GLsizei,width,N/A,in,fixed,??
glTexSubImage4DSGIS,7,0,GLsizei,height,N/A,in,fixed,??
glTexSubImage4DSGIS,8,0,GLsizei,depth,N/A,in,fixed,??
glTexSubImage4DSGIS,9,0,GLsizei,extent,N/A,in,fixed,??
glTexSubImage4DSGIS,10,0,GLenum,format,N/A,in,fixed,??
glTexSubImage4DSGIS,11,0,GLenum,type,N/A,in,fixed,??
glTexSubImage4DSGIS,12,1,"const void *",pixels,???,???,???,???
