func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glColorTableParameterfvSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTableParameterfvSGI,0,0,GLenum,target,N/A,in,fixed,??
glColorTableParameterfvSGI,1,0,GLenum,pname,N/A,in,fixed,??
glColorTableParameterfvSGI,2,1,"const GLfloat *",params,???,???,???,???
glColorTableParameterivSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTableParameterivSGI,0,0,GLenum,target,N/A,in,fixed,??
glColorTableParameterivSGI,1,0,GLenum,pname,N/A,in,fixed,??
glColorTableParameterivSGI,2,1,"const GLint *",params,???,???,???,???
glColorTableSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glColorTableSGI,0,0,GLenum,target,N/A,in,fixed,??
glColorTableSGI,1,0,GLenum,internalformat,N/A,in,fixed,??
glColorTableSGI,2,0,GLsizei,width,N/A,in,fixed,??
glColorTableSGI,3,0,GLenum,format,N/A,in,fixed,??
glColorTableSGI,4,0,GLenum,type,N/A,in,fixed,??
glColorTableSGI,5,1,"const void *",table,???,???,???,???
glGetColorTableParameterfvSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTableParameterfvSGI,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTableParameterfvSGI,1,0,GLenum,pname,N/A,in,fixed,??
glGetColorTableParameterfvSGI,2,1,"GLfloat *",params,???,???,???,???
glGetColorTableParameterivSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTableParameterivSGI,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTableParameterivSGI,1,0,GLenum,pname,N/A,in,fixed,??
glGetColorTableParameterivSGI,2,1,"GLint *",params,???,???,???,???
glGetColorTableSGI,-1,0,void,N/A,N/A,out,fixed,N/A
glGetColorTableSGI,0,0,GLenum,target,N/A,in,fixed,??
glGetColorTableSGI,1,0,GLenum,format,N/A,in,fixed,??
glGetColorTableSGI,2,0,GLenum,type,N/A,in,fixed,??
glGetColorTableSGI,3,1,"void *",table,???,???,???,???
