func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glColor3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glColor3fVertex3fvSUN,0,1,"const GLfloat *",c,???,???,???,???
glColor3fVertex3fvSUN,1,1,"const GLfloat *",v,???,???,???,???
glColor4fNormal3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glColor4fNormal3fVertex3fvSUN,0,1,"const GLfloat *",c,???,???,???,???
glColor4fNormal3fVertex3fvSUN,1,1,"const GLfloat *",n,???,???,???,???
glColor4fNormal3fVertex3fvSUN,2,1,"const GLfloat *",v,???,???,???,???
glColor4ubVertex2fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glColor4ubVertex2fvSUN,0,1,"const GLubyte *",c,???,???,???,???
glColor4ubVertex2fvSUN,1,1,"const GLfloat *",v,???,???,???,???
glColor4ubVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glColor4ubVertex3fvSUN,0,1,"const GLubyte *",c,???,???,???,???
glColor4ubVertex3fvSUN,1,1,"const GLfloat *",v,???,???,???,???
glNormal3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glNormal3fVertex3fvSUN,0,1,"const GLfloat *",n,???,???,???,???
glNormal3fVertex3fvSUN,1,1,"const GLfloat *",v,???,???,???,???
