func_name,arg_pos,pointer_depth,type,arg_name,array_size,inout,width,notes
glReplacementCodeuiColor3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glReplacementCodeuiColor3fVertex3fvSUN,0,1,"const GLuint *",rc,???,???,???,???
glReplacementCodeuiColor3fVertex3fvSUN,1,1,"const GLfloat *",c,???,???,???,???
glReplacementCodeuiColor3fVertex3fvSUN,2,1,"const GLfloat *",v,???,???,???,???
glReplacementCodeuiColor4fNormal3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glReplacementCodeuiColor4fNormal3fVertex3fvSUN,0,1,"const GLuint *",rc,???,???,???,???
glReplacementCodeuiColor4fNormal3fVertex3fvSUN,1,1,"const GLfloat *",c,???,???,???,???
glReplacementCodeuiColor4fNormal3fVertex3fvSUN,2,1,"const GLfloat *",n,???,???,???,???
glReplacementCodeuiColor4fNormal3fVertex3fvSUN,3,1,"const GLfloat *",v,???,???,???,???
glReplacementCodeuiColor4ubVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glReplacementCodeuiColor4ubVertex3fvSUN,0,1,"const GLuint *",rc,???,???,???,???
glReplacementCodeuiColor4ubVertex3fvSUN,1,1,"const GLubyte *",c,???,???,???,???
glReplacementCodeuiColor4ubVertex3fvSUN,2,1,"const GLfloat *",v,???,???,???,???
glReplacementCodeuiNormal3fVertex3fvSUN,-1,0,void,N/A,N/A,out,fixed,N/A
glReplacementCodeuiNormal3fVertex3fvSUN,0,1,"const GLuint *",rc,???,???,???,???
glReplacementCodeuiNormal3fVertex3fvSUN,1,1,"const GLfloat *",n,???,???,???,???
glReplacementCodeuiNormal3fVertex3fvSUN,2,1,"const GLfloat *",v,???,???,???,???
